,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
339,2015-01-03 04:00:00,Bronx,20,3.0,10.0,36.0,19.0,1030.6,0.0,0.0,0.143333333333333,0.0,N
345,2015-01-03 05:00:00,Bronx,14,5.0,10.0,35.0,20.0,1031.3,0.0,0.0,0.0,0.0,N
351,2015-01-03 06:00:00,Bronx,15,7.0,10.0,35.0,18.0,1031.5,0.0,0.0,0.180833333333333,0.0,N
358,2015-01-03 07:00:00,Bronx,12,0.0,10.0,34.0,18.0,1031.8,0.0,0.0,0.255833333333333,0.0,N
364,2015-01-03 08:00:00,Bronx,14,6.0,10.0,35.0,16.0,1032.5,0.0,0.0,0.319166666666667,0.0,N
370,2015-01-03 09:00:00,Bronx,14,7.0,10.0,35.0,17.0,1033.3,0.0,0.0,0.414166666666667,0.0,N
376,2015-01-03 10:00:00,Bronx,13,6.0,10.0,34.0,18.0,1033.9,0.0,0.0,0.426666666666667,0.0,N
383,2015-01-03 11:00:00,Bronx,18,6.0,10.0,34.0,20.0,1034.6,0.0,0.0,0.47,0.0,N
389,2015-01-03 12:00:00,Bronx,24,6.0,10.0,34.0,20.0,1034.9,0.0,0.0,0.49,0.0,N
396,2015-01-03 13:00:00,Bronx,27,9.0,10.0,34.0,20.0,1035.1,0.0,0.0075,0.535,0.0,N
403,2015-01-03 14:00:00,Bronx,36,7.0,10.0,35.0,18.0,1035.6,0.0,0.0308333333333333,0.685,0.0,N
409,2015-01-03 15:00:00,Bronx,37,5.5,10.0,36.5,18.5,1035.7,0.0,0.0833333333333333,0.693,0.0,N
416,2015-01-03 16:00:00,Bronx,32,9.0,10.0,37.0,19.0,1034.3,0.0,0.143333333333333,0.703,0.0,N
422,2015-01-03 17:00:00,Bronx,37,7.0,5.9,38.0,23.0,1033.6,0.0,0.180833333333333,0.703,0.0,N
429,2015-01-03 18:00:00,Bronx,40,7.8,2.22,35.6,29.0,1032.7,0.0075,0.01,0.703,0.0,N
436,2015-01-03 19:00:00,Bronx,48,7.5,1.2,34.0,30.0,1032.7,0.0233333333333333,0.255833333333333,0.713,0.0,N
443,2015-01-03 20:00:00,Bronx,66,5.75,1.65,34.25,31.0,1031.2,0.0525,0.311666666666667,0.713,0.0,N
450,2015-01-03 21:00:00,Bronx,49,7.0,1.65,35.0,32.0,1031.0,0.06,0.383333333333333,0.753,0.0,N
457,2015-01-03 22:00:00,Bronx,49,6.5,2.75,35.75,32.25,1029.4,0.0375,0.343333333333333,0.753,0.0,N
464,2015-01-03 23:00:00,Bronx,39,4.8,2.7,36.4,33.6,1028.6,0.075,0.326666666666667,0.753,0.0,N
471,2015-01-04 00:00:00,Bronx,33,5.75,2.75,37.25,35.25,1027.9,0.0633333333333333,0.4,0.763,0.0,N
478,2015-01-04 01:00:00,Bronx,35,6.0,2.0,38.5,35.5,1025.9,0.095,0.309166666666667,0.763,0.0,N
484,2015-01-04 02:00:00,Bronx,33,7.2,2.7,39.6,36.8,1023.8,0.0125,0.279166666666667,0.7555,0.0,N
490,2015-01-04 03:00:00,Bronx,32,7.33333333333333,3.0,40.3333333333333,37.6666666666667,1021.9,0.0433333333333333,0.365833333333333,0.732166666666667,0.0,N
496,2015-01-04 04:00:00,Bronx,12,7.66666666666667,2.83333333333333,41.0,38.3333333333333,1020.5,0.02,0.278833333333333,0.679666666666667,0.0,N
503,2015-01-04 05:00:00,Bronx,18,8.0,2.83333333333333,42.3333333333333,39.0,1018.7,0.045,0.276333333333333,0.71,0.0,N
509,2015-01-04 06:00:00,Bronx,10,4.0,4.0,42.0,40.0,1017.1,0.15,0.44,0.619666666666667,0.0,N
516,2015-01-04 07:00:00,Bronx,14,3.2,2.3,43.0,40.8,1015.8,0.008,0.233,0.582166666666667,0.0,N
523,2015-01-04 08:00:00,Bronx,17,1.0,1.53333333333333,42.6666666666667,40.3333333333333,1015.1,0.01,0.213,0.507166666666667,0.0,N
529,2015-01-04 09:00:00,Bronx,13,0.0,1.4,41.75,40.0,1014.9,0.0,0.178,0.443833333333333,0.0,N
535,2015-01-04 10:00:00,Bronx,22,2.83333333333333,2.75,42.8333333333333,40.6666666666667,1014.5,0.0,0.028,0.363833333333333,0.0,N
542,2015-01-04 11:00:00,Bronx,17,7.0,5.0,45.0,43.0,1014.0,0.01,0.06,0.391333333333333,0.0,N
549,2015-01-04 12:00:00,Bronx,25,6.0,9.1,45.0,42.0,1013.8,0.0,0.04,0.89,0.0,N
555,2015-01-04 13:00:00,Bronx,28,8.0,8.0,44.0,41.0,1013.4,0.04,0.05,0.358,0.0,N
562,2015-01-04 14:00:00,Bronx,32,3.0,8.5,45.0,41.0,1012.8,0.0,0.05,0.338,0.0,N
569,2015-01-04 15:00:00,Bronx,24,5.0,10.0,46.0,43.0,1011.6,0.0,0.06,0.04,0.0,N
575,2015-01-04 16:00:00,Bronx,31,6.0,10.0,47.0,44.0,1010.9,0.01,0.05,0.293,0.0,N
582,2015-01-04 17:00:00,Bronx,35,7.5,8.0,49.5,47.0,1009.3,0.0,0.05,0.143,0.0,N
589,2015-01-04 18:00:00,Bronx,24,8.33333333333333,6.0,50.3333333333333,47.0,1007.6,0.0,0.05,0.135,0.0,N
595,2015-01-04 19:00:00,Bronx,36,4.0,6.0,50.5,48.0,1007.2,0.0,0.01,0.125,0.0,N
602,2015-01-04 20:00:00,Bronx,25,8.0,9.55,52.5,49.0,1006.3,0.0,0.01,0.125,0.0,N
609,2015-01-04 21:00:00,Bronx,32,7.5,10.0,54.0,49.0,1005.9,0.0,0.01,0.125,0.0,N
616,2015-01-04 22:00:00,Bronx,20,7.0,10.0,55.0,50.0,1004.9,0.0,0.0,0.115,0.0,N
622,2015-01-04 23:00:00,Bronx,22,5.0,10.0,55.0,50.0,1004.3,0.0,0.0,0.115,0.0,N
628,2015-01-05 00:00:00,Bronx,16,6.33333333333333,10.0,55.3333333333333,50.0,1005.4,0.0,0.0,0.075,0.0,N
634,2015-01-05 01:00:00,Bronx,7,6.5,5.5,53.0,50.0,1005.1,0.015,0.015,0.075,0.0,N
640,2015-01-05 02:00:00,Bronx,6,5.0,8.0,53.0,48.0,1005.6,0.04,0.055,0.075,0.0,N
646,2015-01-05 03:00:00,Bronx,5,8.0,10.0,52.0,45.0,1006.8,0.01,0.065,0.065,0.0,N
652,2015-01-05 04:00:00,Bronx,6,14.0,10.0,51.0,38.0,1007.4,0.0,0.065,0.065,0.0,N
659,2015-01-05 05:00:00,Bronx,9,18.0,10.0,50.0,27.0,1008.4,0.0,0.065,0.3,0.0,N
665,2015-01-05 06:00:00,Bronx,14,10.0,10.0,47.0,26.0,1009.1,0.0,0.07,0.065,0.0,N
672,2015-01-05 07:00:00,Bronx,25,10.0,10.0,46.0,27.0,1010.0,0.0,0.065,0.065,0.0,N
679,2015-01-05 08:00:00,Bronx,29,10.0,10.0,44.0,26.0,1011.3,0.0,0.05,0.065,0.0,N
685,2015-01-05 09:00:00,Bronx,31,13.0,10.0,43.0,24.0,1011.5,0.0,0.01,0.065,0.0,N
692,2015-01-05 10:00:00,Bronx,21,9.0,10.0,42.0,24.0,1012.3,0.0,0.0,0.065,0.0,N
699,2015-01-05 11:00:00,Bronx,18,16.0,10.0,41.0,23.0,1013.2,0.0,0.0,0.065,0.0,N
706,2015-01-05 12:00:00,Bronx,27,13.0,10.0,41.0,18.0,1015.0,0.0,0.0,0.12,0.0,N
713,2015-01-05 13:00:00,Bronx,22,15.0,10.0,39.0,16.0,1017.2,0.0,0.0,0.065,0.0,N
719,2015-01-05 14:00:00,Bronx,18,14.0,10.0,39.0,16.0,1018.2,0.0,0.0,0.05,0.0,N
726,2015-01-05 15:00:00,Bronx,29,7.0,10.0,38.0,15.0,1019.2,0.0,0.0,0.01,0.0,N
733,2015-01-05 16:00:00,Bronx,28,16.0,10.0,36.0,3.0,1020.3,0.0,0.0,0.0,0.0,N
739,2015-01-05 17:00:00,Bronx,36,7.0,10.0,36.0,5.0,1019.9,0.0,0.0,0.0,0.0,N
746,2015-01-05 18:00:00,Bronx,22,9.0,10.0,36.0,6.0,1019.9,0.0,0.0,0.0,0.0,N
752,2015-01-05 19:00:00,Bronx,34,8.0,10.0,36.0,4.0,1020.5,0.0,0.0,0.0,0.0,N
759,2015-01-05 20:00:00,Bronx,24,7.0,10.0,34.0,3.0,1021.6,0.0,0.0,0.0,0.0,N
765,2015-01-05 21:00:00,Bronx,21,15.0,10.0,33.0,7.0,1022.7,0.0,0.0,0.0,0.0,N
772,2015-01-05 22:00:00,Bronx,15,10.0,10.0,32.0,1.0,1024.0,0.0,0.0,0.0,0.0,N
779,2015-01-05 23:00:00,Bronx,24,14.0,10.0,30.0,5.0,1025.0,0.0,0.0,0.0,0.0,N
785,2015-01-06 00:00:00,Bronx,18,9.0,10.0,29.0,1.0,1027.4,0.0,0.0,0.0,0.0,N
792,2015-01-06 01:00:00,Bronx,10,11.0,10.0,27.0,-3.0,1027.4,0.0,0.0,0.0,0.0,N
798,2015-01-06 02:00:00,Bronx,9,3.0,10.0,25.0,2.0,1028.3,0.0,0.0,0.0,0.0,N
804,2015-01-06 03:00:00,Bronx,9,6.0,10.0,23.0,0.0,1028.7,0.0,0.0,0.0033333333333333,0.0,N
810,2015-01-06 04:00:00,Bronx,6,8.0,10.0,22.0,0.0,1029.2,0.0,0.0,0.01,0.0,N
816,2015-01-06 05:00:00,Bronx,10,7.0,10.0,22.0,-1.0,1029.6,0.0,0.0,0.0,0.0,N
823,2015-01-06 06:00:00,Bronx,16,10.0,10.0,21.0,-3.0,1030.0,0.0,0.0,0.025,0.0,N
829,2015-01-06 07:00:00,Bronx,25,3.0,10.0,20.0,-2.0,1029.9,0.0,0.0,0.0316666666666667,0.0,N
836,2015-01-06 08:00:00,Bronx,31,7.0,10.0,20.0,-2.0,1029.8,0.0,0.0,0.0316666666666667,0.0,N
843,2015-01-06 09:00:00,Bronx,22,7.0,10.0,20.0,-2.0,1028.7,0.0,0.0,0.0316666666666667,0.0,N
849,2015-01-06 10:00:00,Bronx,27,5.0,10.0,20.0,-2.0,1028.8,0.0,0.0,0.0316666666666667,0.0,N
856,2015-01-06 11:00:00,Bronx,23,0.0,10.0,19.0,-2.0,1027.7,0.0,0.0,0.0316666666666667,0.0,N
863,2015-01-06 12:00:00,Bronx,31,9.0,10.0,20.0,0.0,1029.0,0.0,0.0,0.0316666666666667,0.0,N
869,2015-01-06 13:00:00,Bronx,22,3.0,10.0,20.0,0.0,1027.8,0.0,0.0,0.0316666666666667,0.0,N
875,2015-01-06 14:00:00,Bronx,37,0.75,1.3,19.0,8.0,1027.1,0.0033333333333333,0.0,0.0316666666666667,0.0,N
882,2015-01-06 15:00:00,Bronx,27,0.0,1.2,19.3333333333333,12.3333333333333,1027.2,0.0066666666666666,0.0033333333333333,0.0316666666666667,0.0,N
889,2015-01-06 16:00:00,Bronx,40,0.0,0.4,20.0,14.0,1025.2,0.015,0.01,0.0316666666666667,0.0,N
896,2015-01-06 17:00:00,Bronx,38,6.66666666666667,0.766666666666667,20.0,12.0,1024.0,0.0066666666666666,0.025,0.0316666666666667,0.0,N
903,2015-01-06 18:00:00,Bronx,45,4.75,1.76,20.8,12.2,1021.9,0.0,0.05,0.0316666666666667,0.0,N
909,2015-01-06 19:00:00,Bronx,38,7.25,3.125,21.0,11.0,1020.9,0.0,0.0316666666666667,0.0316666666666667,0.0,N
915,2015-01-06 20:00:00,Bronx,32,0.0,7.0,22.0,12.0,1019.9,0.0,0.0316666666666667,0.0316666666666667,0.0,N
922,2015-01-06 21:00:00,Bronx,31,3.0,6.0,21.0,12.0,1020.0,0.0,0.0316666666666667,0.0316666666666667,0.0,N
929,2015-01-06 22:00:00,Bronx,35,5.0,4.0,21.0,13.0,1019.6,0.0,0.0283333333333333,0.0316666666666667,0.0,N
936,2015-01-06 23:00:00,Bronx,19,1.66666666666667,10.0,21.0,11.6666666666667,1019.4,0.0,0.0216666666666667,0.0316666666666667,0.0,N
943,2015-01-07 00:00:00,Bronx,14,6.0,10.0,21.0,11.0,1018.8,0.0,0.0,0.0316666666666667,0.0,N
949,2015-01-07 01:00:00,Bronx,7,8.0,9.1,21.0,12.0,1019.0,0.0,0.0066666666666666,0.0316666666666667,0.0,N
955,2015-01-07 02:00:00,Bronx,7,3.0,9.1,21.0,13.0,1018.8,0.0,0.0,0.0316666666666667,0.0,N
961,2015-01-07 03:00:00,Bronx,5,6.0,9.1,21.0,13.0,1018.6,0.0,0.0,0.0316666666666667,0.0,N
