,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
3505,2015-01-23 05:00:00,Bronx,6,8.0,10.0,31.0,12.0,1026.9,0.0,0.0,0.0,0.0,N
3511,2015-01-23 06:00:00,Bronx,20,5.0,10.0,31.0,13.0,1026.9,0.0,0.0,0.0,0.0,N
3518,2015-01-23 07:00:00,Bronx,40,7.0,10.0,31.0,14.0,1026.8,0.0,0.0,0.0,0.0,N
3525,2015-01-23 08:00:00,Bronx,51,5.0,10.0,30.0,14.0,1026.7,0.0,0.0,0.0,0.0,N
3532,2015-01-23 09:00:00,Bronx,43,5.0,10.0,29.0,14.0,1026.8,0.0,0.0,0.0,0.0,N
3539,2015-01-23 10:00:00,Bronx,31,8.0,10.0,28.0,14.0,1026.9,0.0,0.0,0.0,0.0,N
3546,2015-01-23 11:00:00,Bronx,35,5.0,10.0,28.0,14.0,1026.9,0.0,0.0,0.0,0.0,N
3553,2015-01-23 12:00:00,Bronx,23,5.0,10.0,28.0,14.0,1027.3,0.0,0.0,0.0,0.0,N
3560,2015-01-23 13:00:00,Bronx,28,9.0,10.0,28.0,14.0,1027.4,0.0,0.0,0.0,0.0,N
3567,2015-01-23 14:00:00,Bronx,39,7.0,10.0,29.0,14.0,1026.9,0.0,0.0,0.0,0.0,N
3573,2015-01-23 15:00:00,Bronx,41,3.0,10.0,30.0,14.0,1026.7,0.0,0.0,0.0,0.0,N
3579,2015-01-23 16:00:00,Bronx,45,0.0,10.0,31.0,14.0,1025.7,0.0,0.0,0.0,0.0,N
3586,2015-01-23 17:00:00,Bronx,43,5.0,10.0,33.0,14.0,1024.3,0.0,0.0,0.0,0.0,N
3592,2015-01-23 18:00:00,Bronx,39,6.0,10.0,36.0,15.0,1023.2,0.0,0.0,0.0,0.0,N
3598,2015-01-23 19:00:00,Bronx,49,7.0,10.0,38.0,16.0,1022.1,0.0,0.0,0.0,0.0,N
3605,2015-01-23 20:00:00,Bronx,33,8.0,10.0,38.0,17.0,1021.3,0.0,0.0,0.0,0.0,N
3611,2015-01-23 21:00:00,Bronx,37,5.0,10.0,39.0,19.0,1020.4,0.0,0.0,0.0,0.0,N
3618,2015-01-23 22:00:00,Bronx,53,6.0,10.0,38.0,21.0,1019.4,0.0,0.0,0.0,0.0,N
3625,2015-01-23 23:00:00,Bronx,47,6.0,10.0,38.0,21.0,1019.6,0.0,0.0,0.0,0.0,N
3632,2015-01-24 00:00:00,Bronx,51,6.0,9.1,37.0,22.0,1019.1,0.0,0.0,0.0,0.0,N
3639,2015-01-24 01:00:00,Bronx,33,6.0,8.0,37.0,23.0,1018.4,0.0,0.0,0.0,0.0,N
3646,2015-01-24 02:00:00,Bronx,40,5.0,8.0,37.0,24.0,1017.2,0.0,0.0,0.0,0.0,N
3652,2015-01-24 03:00:00,Bronx,25,7.0,8.0,37.0,24.0,1016.6,0.0,0.0,0.0,0.0,N
3659,2015-01-24 04:00:00,Bronx,20,9.0,8.0,37.0,25.0,1015.9,0.0,0.0,0.0,0.0,N
3666,2015-01-24 05:00:00,Bronx,22,4.0,4.9,36.0,26.0,1015.3,0.0,0.0,0.0,0.0,N
3673,2015-01-24 06:00:00,Bronx,15,2.5,2.125,34.25,28.75,1013.1,0.005,0.01,0.0,0.125,N
3679,2015-01-24 07:00:00,Bronx,14,5.0,0.7,33.75,29.5,1012.0,0.0333333333333333,0.0,0.0,0.25,N
3685,2015-01-24 08:00:00,Bronx,22,3.0,0.5,33.0,30.0,1010.0,0.19,0.0,0.0,0.375,N
3691,2015-01-24 09:00:00,Bronx,22,5.0,0.5,33.0,30.0,1008.6,0.11,0.0,0.0,0.5,N
3698,2015-01-24 10:00:00,Bronx,25,3.5,1.025,33.0,30.0,1006.5,0.0775,0.0,0.0,0.625,N
3704,2015-01-24 11:00:00,Bronx,33,4.75,2.025,33.0,30.0,1005.6,0.0475,0.0,0.0,0.75,N
3711,2015-01-24 12:00:00,Bronx,38,8.5,3.0,33.5,30.0,1003.1,0.08,0.65,0.66,0.875,N
3718,2015-01-24 13:00:00,Bronx,38,6.33333333333333,2.0,33.0,30.0,1002.2,0.0066666666666666,0.0,0.0,1.0,N
3724,2015-01-24 14:00:00,Bronx,27,8.0,1.3,34.0,31.0,1000.0,0.02,0.0,0.0,1.125,N
3731,2015-01-24 15:00:00,Bronx,27,6.0,1.0,34.0,31.0,999.1,0.01,0.0,0.0,1.25,N
3738,2015-01-24 16:00:00,Bronx,28,6.33333333333333,2.66666666666667,35.3333333333333,31.3333333333333,997.8,0.01,0.0,0.0,1.375,N
3744,2015-01-24 17:00:00,Bronx,44,6.25,1.75,35.0,32.0,996.6,0.0,0.0,0.0,1.5,N
3751,2015-01-24 18:00:00,Bronx,55,6.66666666666667,2.4,35.0,32.0,993.7,0.0,0.05,0.0,1.625,N
3758,2015-01-24 19:00:00,Bronx,65,13.0,5.0,36.0,32.0,992.3,0.0,0.0,0.0,1.75,N
3765,2015-01-24 20:00:00,Bronx,61,5.0,6.5,36.5,31.5,991.6,0.0,0.0,0.0,1.875,N
3772,2015-01-24 21:00:00,Bronx,61,5.75,6.25,36.5,30.75,991.4,0.0,0.005,0.0,2.0,N
3779,2015-01-24 22:00:00,Bronx,61,4.5,6.0,37.0,31.5,992.9,0.0,0.0383333333333333,0.005,2.125,N
3786,2015-01-24 23:00:00,Bronx,53,8.0,8.0,38.0,32.0,993.4,0.01,0.228333333333333,0.0383333333333333,2.25,N
3793,2015-01-25 00:00:00,Bronx,54,7.0,9.1,38.0,30.0,994.1,0.0,0.01,0.228333333333333,2.375,N
3800,2015-01-25 01:00:00,Bronx,43,7.0,10.0,38.0,25.0,995.3,0.0,0.338333333333333,0.338333333333333,2.5,N
3807,2015-01-25 02:00:00,Bronx,53,8.0,10.0,38.0,22.0,996.2,0.0,0.415833333333333,0.415833333333333,2.625,N
3814,2015-01-25 03:00:00,Bronx,32,7.0,10.0,36.0,23.0,997.0,0.0,0.463333333333333,0.463333333333333,2.75,N
3820,2015-01-25 04:00:00,Bronx,31,8.0,10.0,36.0,23.0,997.9,0.0,0.538333333333333,0.543333333333333,2.875,N
3827,2015-01-25 05:00:00,Bronx,15,9.0,10.0,36.0,24.0,998.5,0.0,0.511666666666667,0.72,3.0,N
3833,2015-01-25 06:00:00,Bronx,9,11.0,10.0,37.0,23.0,999.0,0.0,0.341666666666667,0.55,2.95833333333333,N
3839,2015-01-25 07:00:00,Bronx,8,7.0,10.0,37.0,24.0,1000.1,0.0,0.241666666666667,0.57,2.91666666666667,N
3846,2015-01-25 08:00:00,Bronx,14,5.0,10.0,37.0,25.0,1000.9,0.0,0.174166666666667,0.58,2.875,N
3853,2015-01-25 09:00:00,Bronx,23,7.0,10.0,36.0,24.0,1001.5,0.0,0.126666666666667,0.59,2.83333333333333,N
3860,2015-01-25 10:00:00,Bronx,27,6.0,10.0,34.0,24.0,1002.1,0.0,0.0466666666666667,0.59,2.79166666666667,N
3866,2015-01-25 11:00:00,Bronx,28,6.0,10.0,35.0,24.0,1003.3,0.0,0.04,0.59,2.75,N
3873,2015-01-25 12:00:00,Bronx,34,11.0,10.0,36.0,24.0,1003.8,0.0,0.02,0.06,2.70833333333333,N
3879,2015-01-25 13:00:00,Bronx,38,8.0,10.0,36.0,25.0,1005.0,0.0,0.01,0.59,2.66666666666667,N
3886,2015-01-25 14:00:00,Bronx,42,7.0,9.1,37.0,26.0,1006.0,0.0,0.0,0.59,2.625,N
3892,2015-01-25 15:00:00,Bronx,35,5.0,9.1,39.0,27.0,1006.7,0.0,0.01,0.59,2.58333333333333,N
3899,2015-01-25 16:00:00,Bronx,32,7.0,10.0,41.0,25.0,1006.9,0.0,0.01,0.59,2.54166666666667,N
3906,2015-01-25 17:00:00,Bronx,37,3.0,10.0,41.0,14.0,1007.3,0.0,0.01,0.6,2.5,N
3913,2015-01-25 18:00:00,Bronx,38,6.0,10.0,42.0,14.0,1008.1,0.0,0.01,0.6,2.45833333333333,N
3920,2015-01-25 19:00:00,Bronx,34,8.0,10.0,42.0,13.0,1008.0,0.0,0.01,0.6,2.41666666666667,N
3927,2015-01-25 20:00:00,Bronx,36,10.0,10.0,42.0,11.0,1008.5,0.0,0.01,0.6,2.375,N
3933,2015-01-25 21:00:00,Bronx,38,6.0,10.0,41.0,14.0,1009.2,0.0,0.0,0.6,2.33333333333333,N
3940,2015-01-25 22:00:00,Bronx,34,0.0,10.0,38.0,10.0,1010.3,0.0,0.0,0.6,2.29166666666667,N
3946,2015-01-25 23:00:00,Bronx,36,5.0,10.0,37.0,7.0,1011.7,0.0,0.0,0.6,2.25,N
3953,2015-01-26 00:00:00,Bronx,33,3.0,10.0,36.0,8.0,1012.8,0.0,0.0,0.595,2.20833333333333,N
3960,2015-01-26 01:00:00,Bronx,18,3.0,10.0,35.0,10.0,1013.7,0.0,0.0,0.561666666666667,2.16666666666667,N
3967,2015-01-26 02:00:00,Bronx,11,5.0,10.0,34.0,9.0,1014.4,0.0,0.0,0.371666666666667,2.125,N
3973,2015-01-26 03:00:00,Bronx,4,3.0,10.0,32.0,10.0,1014.9,0.0,0.0,0.261666666666667,2.08333333333333,N
3979,2015-01-26 04:00:00,Bronx,8,13.0,10.0,32.0,9.0,1015.2,0.0,0.0,0.184166666666667,2.04166666666667,N
3985,2015-01-26 05:00:00,Bronx,12,6.0,10.0,31.0,10.0,1015.5,0.0,0.0,0.0,2.0,N
3991,2015-01-26 06:00:00,Bronx,23,6.0,10.0,29.0,8.0,1015.8,0.0,0.0,0.136666666666667,2.0,N
3998,2015-01-26 07:00:00,Bronx,37,6.0,10.0,28.0,4.0,1016.4,0.0,0.0,0.0566666666666667,2.0,N
4005,2015-01-26 08:00:00,Bronx,53,11.0,10.0,26.0,3.0,1016.2,0.0,0.0,0.05,2.0,N
4012,2015-01-26 09:00:00,Bronx,37,5.0,10.0,26.0,6.0,1016.4,0.0,0.0,0.03,2.0,N
4019,2015-01-26 10:00:00,Bronx,29,11.0,10.0,25.0,6.0,1016.1,0.0,0.0,0.02,2.0,N
4026,2015-01-26 11:00:00,Bronx,26,13.0,9.1,24.0,9.0,1015.7,0.0,0.0,0.01,2.0,N
4033,2015-01-26 12:00:00,Bronx,29,14.5,3.25,24.0,12.5,1015.8,0.0,0.0,0.01,2.0,N
4040,2015-01-26 13:00:00,Bronx,27,13.0,3.5,24.5,13.5,1015.7,0.0,0.0,0.01,2.0,N
4047,2015-01-26 14:00:00,Bronx,38,10.75,1.325,24.5,16.0,1015.8,0.0,0.0,0.01,2.0,N
4054,2015-01-26 15:00:00,Bronx,42,16.0,1.5,24.0,16.3333333333333,1015.6,0.0033333333333333,0.0,0.01,2.0,N
4060,2015-01-26 16:00:00,Bronx,42,16.0,1.76666666666667,23.6666666666667,15.6666666666667,1015.1,0.0033333333333333,0.0,0.01,2.0,N
4067,2015-01-26 17:00:00,Bronx,32,15.0,6.0,22.0,14.0,1013.7,0.01,0.0,0.01,2.0,N
4074,2015-01-26 18:00:00,Bronx,34,12.5,1.4,23.0,15.25,1011.9,0.0025,0.02,0.0,2.0,N
4080,2015-01-26 19:00:00,Bronx,25,15.75,0.6,23.25,17.0,1011.9,0.025,0.0,0.0,2.0,N
4086,2015-01-26 20:00:00,Bronx,12,13.0,0.3,24.0,19.0,1011.2,0.08,0.0,0.0,2.0,N
4092,2015-01-26 21:00:00,Bronx,9,11.0,0.0,24.0,20.0,1010.3,0.15,0.0,0.0,2.0,N
4098,2015-01-26 22:00:00,Bronx,9,14.0,0.4,25.5,21.0,1010.2,0.05,0.0,0.0,2.0,N
4104,2015-01-26 23:00:00,Bronx,0,16.75,2.0,26.5,20.5,1010.3,0.0125,0.0,0.0,2.0,N
4110,2015-01-27 00:00:00,Bronx,0,16.3333333333333,4.0,27.0,20.3333333333333,1010.0,0.005,0.39,0.0,2.0,N
4116,2015-01-27 01:00:00,Bronx,0,15.75,1.95,27.0,21.0,1009.0,0.0,0.0,0.0,2.0,N
4122,2015-01-27 02:00:00,Bronx,0,13.0,2.5,27.0,20.0,1008.4,0.0,0.0,0.0,2.0,N
4128,2015-01-27 03:00:00,Bronx,0,14.5,1.25,26.0,20.0,1007.5,0.01,0.0,0.0,2.0,N
4134,2015-01-27 04:00:00,Bronx,0,13.6666666666667,0.866666666666667,25.3333333333333,20.0,1006.4,0.0133333333333333,0.0,0.0,2.0,N
4140,2015-01-27 05:00:00,Bronx,0,12.5,0.8,25.0,19.0,1005.2,0.03,0.0,0.48,2.0,N
4146,2015-01-27 06:00:00,Bronx,0,10.0,0.3,24.0,20.0,1004.9,0.085,0.14,0.0,2.25,N
4152,2015-01-27 07:00:00,Bronx,0,12.25,0.85,23.0,17.25,1004.9,0.055,0.0,0.0,2.5,N
4158,2015-01-27 08:00:00,Bronx,1,9.66666666666667,0.7,21.6666666666667,17.0,1004.6,0.0266666666666667,0.0,0.0,2.75,N
4164,2015-01-27 09:00:00,Bronx,9,11.0,0.5,21.0,16.0,1004.3,0.05,0.0,0.0,3.0,N
4171,2015-01-27 10:00:00,Bronx,25,7.25,0.9,21.0,15.25,1004.8,0.0225,0.0,0.0,3.25,N
4177,2015-01-27 11:00:00,Bronx,20,9.0,3.66666666666667,21.0,13.6666666666667,1003.9,0.01,0.0033333333333333,0.0033333333333333,3.5,N
4183,2015-01-27 12:00:00,Bronx,25,8.25,9.1,22.0,12.0,1004.5,0.0,0.23,0.78,3.75,N
4189,2015-01-27 13:00:00,Bronx,13,7.5,5.0,23.0,13.5,1005.0,0.0,0.0066666666666666,0.0066666666666666,4.0,N
4195,2015-01-27 14:00:00,Bronx,11,7.0,2.83333333333333,23.0,14.6666666666667,1005.3,0.0,0.0166666666666667,0.0166666666666667,4.25,N
4202,2015-01-27 15:00:00,Bronx,28,7.0,3.5,23.0,16.0,1005.0,0.0,0.0191666666666667,0.0191666666666667,4.5,N
4209,2015-01-27 16:00:00,Bronx,13,8.5,1.9,25.0,16.5,1005.0,0.0,0.0441666666666667,0.0441666666666667,4.75,N
4215,2015-01-27 17:00:00,Bronx,32,11.3333333333333,3.0,26.6666666666667,18.0,1004.7,0.0,0.124166666666667,0.124166666666667,5.0,N
4222,2015-01-27 18:00:00,Bronx,35,6.0,10.0,26.0,16.0,1004.4,0.0,0.0,0.274166666666667,5.25,N
4228,2015-01-27 19:00:00,Bronx,29,7.0,10.0,28.0,15.0,1004.0,0.0,0.270833333333333,0.324166666666667,5.5,N
4235,2015-01-27 20:00:00,Bronx,23,8.0,10.0,29.0,16.0,1004.0,0.0,0.3175,0.336666666666667,5.75,N
4242,2015-01-27 21:00:00,Bronx,25,7.0,10.0,30.0,17.0,1003.9,0.0,0.32,0.341666666666667,6.0,N
4248,2015-01-27 22:00:00,Bronx,24,9.0,10.0,26.0,15.0,1004.7,0.0,0.3225,0.341666666666667,6.25,N
4254,2015-01-27 23:00:00,Bronx,24,5.0,10.0,26.0,15.0,1005.5,0.0,0.2975,0.341666666666667,6.5,N
4260,2015-01-28 00:00:00,Bronx,22,5.0,10.0,26.0,14.0,1006.4,0.0,0.2175,0.351666666666667,6.75,N
4266,2015-01-28 01:00:00,Bronx,11,7.0,10.0,26.0,14.0,1007.2,0.0,0.0775,0.365,7.0,N
4272,2015-01-28 02:00:00,Bronx,3,11.0,10.0,24.0,9.0,1008.2,0.0,0.0408333333333333,0.395,7.25,N
4278,2015-01-28 03:00:00,Bronx,8,8.0,10.0,22.0,7.0,1009.0,0.0,0.0583333333333333,0.48,7.5,N
4284,2015-01-28 04:00:00,Bronx,3,10.0,10.0,21.0,5.0,1009.8,0.0,0.138333333333333,0.535,7.75,N
4290,2015-01-28 05:00:00,Bronx,8,8.0,10.0,20.0,6.0,1010.6,0.0,0.193333333333333,0.36,8.0,N
4296,2015-01-28 06:00:00,Bronx,16,5.0,10.0,18.0,6.0,1011.0,0.0,0.22,0.561666666666667,8.0,N
4302,2015-01-28 07:00:00,Bronx,39,10.0,10.0,18.0,3.0,1011.6,0.0,0.26,0.611666666666667,8.0,N
4309,2015-01-28 08:00:00,Bronx,69,7.0,10.0,17.0,0.0,1012.4,0.0,0.269166666666667,0.634166666666667,8.0,N
4316,2015-01-28 09:00:00,Bronx,49,8.0,10.0,17.0,-1.0,1012.8,0.0,0.249166666666667,0.644166666666667,8.0,N
4323,2015-01-28 10:00:00,Bronx,37,11.0,10.0,17.0,-2.0,1013.2,0.0,0.164166666666667,0.644166666666667,8.0,N
4330,2015-01-28 11:00:00,Bronx,31,8.0,10.0,17.0,-2.0,1014.0,0.0,0.109166666666667,0.644166666666667,8.0,N
4337,2015-01-28 12:00:00,Bronx,23,9.0,10.0,17.0,-2.0,1015.1,0.0,0.0825,0.644166666666667,8.0,N
4344,2015-01-28 13:00:00,Bronx,31,7.0,10.0,18.0,-2.0,1015.7,0.0,0.0325,0.640833333333333,8.0,N
4351,2015-01-28 14:00:00,Bronx,27,13.0,10.0,19.0,-1.0,1016.6,0.0,0.01,0.6375,8.0,N
4357,2015-01-28 15:00:00,Bronx,44,10.0,10.0,21.0,1.0,1017.2,0.0,0.0,0.6275,8.0,N
4364,2015-01-28 16:00:00,Bronx,41,9.0,10.0,24.0,4.0,1017.5,0.0,0.0,0.625,8.0,N
4371,2015-01-28 17:00:00,Bronx,47,13.0,10.0,27.0,6.0,1017.5,0.0,0.0,0.6,8.0,N
4378,2015-01-28 18:00:00,Bronx,51,14.0,10.0,30.0,7.0,1017.5,0.0,0.0,0.52,8.0,N
4384,2015-01-28 19:00:00,Bronx,32,7.0,10.0,31.0,8.0,1017.8,0.0,0.0,0.37,8.0,N
4391,2015-01-28 20:00:00,Bronx,30,8.0,10.0,33.0,8.0,1018.3,0.0,0.0,0.32,8.0,N
4398,2015-01-28 21:00:00,Bronx,43,10.0,10.0,33.0,7.0,1019.0,0.0,0.0,0.3075,8.0,N
4405,2015-01-28 22:00:00,Bronx,44,6.0,10.0,33.0,6.0,1020.0,0.0,0.0,0.3025,8.0,N
4412,2015-01-28 23:00:00,Bronx,20,3.0,10.0,32.0,3.0,1021.2,0.0,0.0,0.3025,8.0,N
4419,2015-01-29 00:00:00,Bronx,18,8.0,10.0,31.0,2.0,1022.1,0.0,0.0,0.3025,8.0,N
4426,2015-01-29 01:00:00,Bronx,10,5.0,10.0,30.0,1.0,1023.0,0.0,0.0,0.2925,8.0,N
4432,2015-01-29 02:00:00,Bronx,10,7.0,10.0,28.0,1.0,1023.7,0.0,0.0,0.279166666666667,8.0,N
4438,2015-01-29 03:00:00,Bronx,3,3.0,10.0,28.0,0.0,1024.1,0.0,0.0,0.249166666666667,8.0,N
4444,2015-01-29 04:00:00,Bronx,4,3.0,10.0,26.0,0.0,1024.6,0.0,0.0,0.164166666666667,8.0,N
4450,2015-01-29 05:00:00,Bronx,10,0.0,10.0,25.0,1.0,1024.9,0.0,0.0,0.0,8.0,N
4456,2015-01-29 06:00:00,Bronx,11,1.5,10.0,24.0,1.0,1025.2,0.0,0.0,0.109166666666667,7.91666666666667,N
4463,2015-01-29 07:00:00,Bronx,30,3.0,10.0,23.0,1.0,1025.5,0.0,0.0,0.0825,7.83333333333333,N
4470,2015-01-29 08:00:00,Bronx,57,5.0,10.0,21.0,2.0,1026.2,0.0,0.0,0.0325,7.75,N
4477,2015-01-29 09:00:00,Bronx,55,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N
4484,2015-01-29 10:00:00,Bronx,34,5.0,10.0,21.0,2.0,1025.7,0.0,0.0,0.0,7.58333333333333,N
4491,2015-01-29 11:00:00,Bronx,34,0.0,10.0,20.0,2.0,1026.3,0.0,0.0,0.0,7.5,N
4498,2015-01-29 12:00:00,Bronx,19,3.0,10.0,20.0,3.0,1026.4,0.0,0.0,0.0,7.41666666666667,N
4505,2015-01-29 13:00:00,Bronx,36,5.0,10.0,19.0,2.0,1026.9,0.0,0.0,0.0,7.33333333333333,N
4512,2015-01-29 14:00:00,Bronx,48,0.0,10.0,22.0,4.0,1026.8,0.0,0.0,0.0,7.25,N
4519,2015-01-29 15:00:00,Bronx,45,5.0,10.0,27.0,5.0,1026.3,0.0,0.0,0.0,7.16666666666667,N
4526,2015-01-29 16:00:00,Bronx,42,3.0,10.0,29.0,5.0,1026.1,0.0,0.0,0.0,7.08333333333333,N
4533,2015-01-29 17:00:00,Bronx,52,1.5,10.0,31.5,6.0,1025.0,0.0,0.0,0.0,7.0,N
4539,2015-01-29 18:00:00,Bronx,54,0.0,10.0,32.0,9.0,1023.4,0.0,0.0,0.0,6.91666666666667,N
4546,2015-01-29 19:00:00,Bronx,35,5.0,10.0,33.0,12.0,1022.4,0.0,0.0,0.0,6.83333333333333,N
4552,2015-01-29 20:00:00,Bronx,42,5.0,10.0,31.0,15.0,1022.2,0.0,0.0,0.0,6.75,N
4559,2015-01-29 21:00:00,Bronx,40,5.5,10.0,30.0,17.0,1021.1,0.0,0.0,0.0,6.66666666666667,N
4565,2015-01-29 22:00:00,Bronx,23,6.0,10.0,31.0,20.0,1020.2,0.0,0.0,0.0,6.58333333333333,N
4572,2015-01-29 23:00:00,Bronx,31,3.0,10.0,32.0,23.0,1020.1,0.0,0.0,0.0,6.5,N
4579,2015-01-30 00:00:00,Bronx,28,7.0,10.0,34.0,24.0,1019.2,0.0,0.0,0.0,6.41666666666667,N
4586,2015-01-30 01:00:00,Bronx,17,11.0,10.0,35.0,25.0,1018.4,0.0,0.0,0.0,6.33333333333333,N
4593,2015-01-30 02:00:00,Bronx,12,3.0,10.0,35.0,24.0,1017.6,0.0,0.0,0.0,6.25,N
4599,2015-01-30 03:00:00,Bronx,5,8.0,10.0,35.0,24.0,1017.5,0.0,0.0,0.0,6.16666666666667,N
4605,2015-01-30 04:00:00,Bronx,6,3.0,5.26666666666667,34.3333333333333,22.6666666666667,1016.5,0.0,0.0,0.0,6.08333333333333,N
4612,2015-01-30 05:00:00,Bronx,8,3.5,1.475,32.0,27.0,1015.6,0.015,0.0,0.02,6.0,N
4618,2015-01-30 06:00:00,Bronx,16,4.66666666666667,1.825,32.5,28.5,1014.3,0.0233333333333333,0.04,0.0,6.04166666666667,N
4624,2015-01-30 07:00:00,Bronx,48,6.66666666666667,1.88,33.4,27.6,1013.3,0.0066666666666666,0.0,0.0,6.08333333333333,N
4631,2015-01-30 08:00:00,Bronx,70,4.33333333333333,4.0,34.0,28.3333333333333,1012.3,0.01,0.0,0.0,6.125,N
4638,2015-01-30 09:00:00,Bronx,57,0.0,10.0,37.0,27.0,1011.2,0.0,0.0,0.0,6.16666666666667,N
4645,2015-01-30 10:00:00,Bronx,45,3.0,10.0,35.0,27.0,1010.6,0.0,0.0,0.0,6.20833333333333,N
4651,2015-01-30 11:00:00,Bronx,33,3.0,9.1,35.0,27.0,1010.5,0.0,0.0,0.0,6.25,N
4658,2015-01-30 12:00:00,Bronx,34,7.0,8.0,33.0,26.0,1010.2,0.0,0.03,0.07,6.29166666666667,N
4665,2015-01-30 13:00:00,Bronx,38,8.0,4.75,32.0,25.0,1010.5,0.0,0.0,0.0,6.33333333333333,N
4672,2015-01-30 14:00:00,Bronx,40,7.2,2.0,32.0,25.6,1011.6,0.005,0.0,0.0,6.375,N
4678,2015-01-30 15:00:00,Bronx,38,5.0,5.0,32.0,26.0,1011.4,0.0,0.0,0.01,6.41666666666667,N
4684,2015-01-30 16:00:00,Bronx,58,8.0,7.0,34.0,25.0,1011.1,0.0,0.0,0.0,6.45833333333333,N
4691,2015-01-30 17:00:00,Bronx,47,14.0,10.0,36.3333333333333,24.0,1010.6,0.0,0.0,0.0,6.5,N
4698,2015-01-30 18:00:00,Bronx,60,11.0,10.0,38.0,21.0,1010.0,0.0,0.01,0.0,6.54166666666667,N
4704,2015-01-30 19:00:00,Bronx,56,13.0,10.0,37.0,20.0,1009.8,0.0,0.0,0.0,6.58333333333333,N
4711,2015-01-30 20:00:00,Bronx,59,15.0,10.0,37.0,17.0,1010.1,0.0,0.0,0.0,6.625,N
4718,2015-01-30 21:00:00,Bronx,58,16.0,10.0,36.0,15.0,1010.5,0.0,0.0,0.0,6.66666666666667,N
4724,2015-01-30 22:00:00,Bronx,54,13.0,10.0,35.0,14.0,1011.7,0.0,0.0,0.0,6.70833333333333,N
4731,2015-01-30 23:00:00,Bronx,55,17.0,10.0,32.0,13.0,1013.0,0.0,0.0,0.0,6.75,N
4737,2015-01-31 00:00:00,Bronx,43,15.0,10.0,28.0,9.0,1014.1,0.0,0.0,0.0,6.79166666666667,N
4744,2015-01-31 01:00:00,Bronx,52,14.0,10.0,25.0,8.0,1015.9,0.0,0.0,0.0,6.83333333333333,N
4751,2015-01-31 02:00:00,Bronx,31,18.0,10.0,22.0,6.0,1015.4,0.0,0.0,0.0,6.875,N
4758,2015-01-31 03:00:00,Bronx,21,16.0,10.0,21.0,5.0,1015.8,0.0,0.0,0.0,6.91666666666667,N
4764,2015-01-31 04:00:00,Bronx,22,15.0,10.0,20.0,4.0,1015.9,0.0,0.0,0.0,6.95833333333333,N
4770,2015-01-31 05:00:00,Bronx,17,17.0,10.0,19.0,3.0,1016.2,0.0,0.0,0.06,7.0,N
4776,2015-01-31 06:00:00,Bronx,13,20.0,10.0,18.0,1.0,1017.4,0.0,0.015,0.0,7.0,N
4782,2015-01-31 07:00:00,Bronx,12,18.0,10.0,18.0,1.0,1017.6,0.0,0.0383333333333333,0.0,7.0,N
4788,2015-01-31 08:00:00,Bronx,28,18.0,10.0,17.0,1.0,1018.3,0.0,0.045,0.015,7.0,N
4794,2015-01-31 09:00:00,Bronx,34,14.0,10.0,16.0,1.0,1018.1,0.0,0.055,0.0383333333333333,7.0,N
4801,2015-01-31 10:00:00,Bronx,30,18.0,10.0,15.0,-3.0,1018.9,0.0,0.055,0.045,7.0,N
4807,2015-01-31 11:00:00,Bronx,36,15.0,10.0,14.0,-4.0,1019.2,0.0,0.055,0.055,7.0,N
4814,2015-01-31 12:00:00,Bronx,44,10.0,10.0,13.0,-4.0,1019.1,0.0,0.04,0.01,7.0,N
4820,2015-01-31 13:00:00,Bronx,42,15.0,10.0,13.0,-5.0,1019.1,0.0,0.0166666666666667,0.055,7.0,N
4827,2015-01-31 14:00:00,Bronx,45,17.0,10.0,13.0,-5.0,1019.5,0.0,0.01,0.055,7.0,N
4834,2015-01-31 15:00:00,Bronx,53,13.0,10.0,15.0,-4.0,1020.0,0.0,0.005,0.055,7.0,N
4841,2015-01-31 16:00:00,Bronx,47,14.0,10.0,18.0,-5.0,1020.4,0.0,0.005,0.055,7.0,N
4848,2015-01-31 17:00:00,Bronx,42,10.0,10.0,21.0,-2.0,1020.0,0.0,0.005,0.055,7.0,N
4855,2015-01-31 18:00:00,Bronx,72,6.0,10.0,23.0,-3.0,1019.4,0.0,0.005,0.06,7.0,N
4862,2015-01-31 19:00:00,Bronx,77,6.0,10.0,25.0,-2.0,1019.0,0.0,0.005,0.06,7.0,N
4869,2015-01-31 20:00:00,Bronx,64,11.0,10.0,26.0,-3.0,1018.9,0.0,0.005,0.06,7.0,N
4876,2015-01-31 21:00:00,Bronx,67,9.0,10.0,26.0,0.0,1019.1,0.0,0.0,0.06,7.0,N
4883,2015-01-31 22:00:00,Bronx,72,17.0,10.0,25.0,0.0,1019.8,0.0,0.0,0.06,7.0,N
4890,2015-01-31 23:00:00,Bronx,55,7.0,10.0,24.0,1.0,1020.3,0.0,0.0,0.06,7.0,N
4897,2015-02-01 00:00:00,Bronx,59,7.0,10.0,23.0,3.0,1021.5,0.0,0.0,0.06,7.0,N
4903,2015-02-01 01:00:00,Bronx,59,10.0,10.0,22.0,3.0,1022.5,0.0,0.0,0.06,7.0,N
4909,2015-02-01 02:00:00,Bronx,42,7.0,10.0,22.0,4.0,1022.5,0.0,0.0,0.06,7.0,N
